"T/degreeCelsius","P/kPa","dvapH/kJ kg-1","surface tension/mN m-1"
168,754.62,2055.6,44.85
170,792.19,2048.8,44.41
172,831.22,2042,43.97
174,871.76,2035.1,43.52
176,913.84,2028.2,43.08
178,957.51,2021.2,42.64
180,1002.8,2014.2,42.19
182,1049.8,2007,41.74
184,1098.5,1999.8,41.3
186,1148.9,1992.6,40.85
188,1201.1,1985.3,40.4
190,1255.2,1977.9,39.95
192,1311.2,1970.4,39.49
194,1369.1,1962.8,39.04
196,1429,1955.2,38.59
198,1490.9,1947.5,38.13
200,1554.9,1939.7,37.67
202,1621,1931.9,37.22
204,1689.3,1923.9,36.76
206,1759.8,1915.9,36.3
208,1832.6,1907.8,35.84
210,1907.7,1899.6,35.38
212,1985.1,1891.4,34.92
214,2065,1883,34.46
216,2147.3,1874.6,33.99
218,2232.2,1866,33.53
220,2319.6,1857.4,33.07
222,2409.6,1848.6,32.6
224,2502.3,1839.8,32.14
226,2597.8,1830.9,31.67
228,2696,1821.8,31.2
230,2797.1,1812.7,30.74
232,2901,1803.5,30.27
234,3008,1794.1,29.8
236,3117.9,1784.7,29.33
238,3230.8,1775.1,28.86
240,3346.9,1765.4,28.39
242,3466.2,1755.6,27.92
244,3588.7,1745.7,27.45
246,3714.5,1735.6,26.98
248,3843.6,1725.5,26.51
250,3976.2,1715.2,26.04
252,4112.2,1704.7,25.57
254,4251.8,1694.2,25.1
256,4394.9,1683.5,24.63
258,4541.7,1672.6,24.16
260,4692.3,1661.6,23.69
262,4846.6,1650.5,23.22
264,5004.7,1639.2,22.75
266,5166.8,1627.8,22.28
268,5332.9,1616.2,21.81
270,5503,1604.4,21.34
272,5677.2,1592.5,20.87
274,5855.6,1580.4,20.4
276,6038.3,1568.1,19.93
278,6225.2,1555.6,19.46
280,6416.6,1543,18.99
282,6612.4,1530.1,18.53
284,6812.8,1517.1,18.06
286,7017.7,1503.8,17.59
288,7227.4,1490.4,17.13
290,7441.8,1476.7,16.66
292,7661,1462.7,16.2
294,7885.2,1448.6,15.74
296,8114.3,1434.2,15.28
298,8348.5,1419.5,14.82
300,8587.9,1404.6,14.36
302,8832.5,1389.4,13.9
304,9082.4,1374,13.45
306,9337.8,1358.2,12.99
308,9598.6,1342.1,12.54
310,9865.1,1325.7,12.09
312,10137,1309,11.64
314,10415,1291.9,11.19
316,10699,1274.5,10.75
318,10989,1256.6,10.3
320,11284,1238.4,9.86
322,11586,1219.7,9.43
324,11895,1200.6,8.99
326,12209,1180.9,8.56
328,12530,1160.8,8.13
330,12858,1140.2,7.7
332,13193,1118.9,7.28
334,13534,1097.1,6.86
336,13882,1074.6,6.44
338,14238,1051.3,6.03
340,14601,1027.3,5.63
342,14971,1002.5,5.22
344,15349,976.7,4.83
346,15734,949.9,4.43
348,16128,922,4.05
350,16529,892.7,3.67
352,16939,862.1,3.29
354,17358,829.8,2.93
356,17785,795.5,2.57
358,18221,759,2.22
360,18666,719.8,1.88
362,19121,677.3,1.55
364,19585,630.5,1.23
366,20060,578.2,0.93
368,20546,517.8,0.65
370,21044,443.8,0.39
372,21554,340.3,0.16
373.95,22064,0,0
